timestamp,TrackID,TrackID_new,x,y,ANG,A,B,theata1,theta2,theta3
4/16/20 11:04,2,16,-15.66281294,-3.259759151,3.561302429,1.383027892,0.231720258,266.6784029,251.2542724,229.1352702
4/16/20 11:05,2,16,-14.85913458,-3.048830121,3.572399224,1.657093008,0.295864783,267.1524436,250.3305901,228.0884303
4/16/20 11:06,2,16,-14.1427687,-2.861964133,3.583616625,1.857754666,0.352288474,267.6264843,249.4069077,227.0415902
4/16/20 11:07,2,16,-13.49943671,-2.695300103,3.594938368,2.003182353,0.402205916,268.1005251,248.4832254,225.9947503
4/16/20 11:08,2,16,-13.70540759,-2.719137151,3.589218545,1.896443038,0.373455269,268.0032357,249.00237,226.4115771
4/16/20 11:09,2,16,-14.00770665,-2.75939413,3.581372748,1.674444215,0.320418231,267.8006215,249.7875,226.9524974
4/16/20 11:10,2,16,-14.60095756,-2.569645305,3.549783242,0.029281414,0.005287645,267.5980073,253.6615701,228.3482841
4/16/20 11:11,2,16,-14.80692587,-2.698908553,3.551767111,0.184343946,0.032760753,267.3953931,253.2335834,228.5045871
4/16/20 11:12,2,16,-14.88677783,-2.812925973,3.55659375,0.638196816,0.112871159,267.3302752,252.4241429,228.5045872
4/16/20 11:13,2,16,-14.90652651,-2.851999665,3.55850267,0.832572619,0.147168974,267.3302752,252.0935619,228.5045872
4/16/20 11:14,2,16,-14.92620187,-2.891196469,3.560428975,1.026172762,0.181335388,267.3302752,251.7629809,228.5045872
4/16/20 11:15,2,16,-14.89340045,-2.825996302,3.55723096,0.703340049,0.124366628,267.3302752,252.3134556,228.5045872
4/16/20 11:16,2,16,-14.90517187,-2.726344082,3.550728501,0.42999375,0.075903704,267.5238678,253.0113489,228.7661107
4/16/20 11:17,2,16,-14.8908462,-2.624006683,3.54489435,0.320231997,0.056592628,267.8229649,253.5018895,229.0516125
4/16/20 11:18,2,16,-14.8925091,-2.553110023,3.540572308,0.367614036,0.064987221,268.122062,253.7262123,229.3371143
4/16/20 11:19,2,16,-15.18499453,-2.651961849,3.538273612,0.208851822,0.036083792,267.8287258,253.9505352,229.6226161
4/16/20 11:20,2,16,-15.55831625,-2.793986118,3.536459453,0.015229049,0.002557499,267.4099898,254.174858,229.9081179
4/16/20 11:21,2,16,-15.58425782,-2.787283745,3.535585601,0.463390129,0.077776359,267.7425986,253.7629882,230.1914883
4/16/20 11:22,2,16,-15.162397,-2.669742439,3.540468915,0.966368819,0.167889583,268.251872,253.0451551,229.8425416
4/16/20 11:23,2,16,-14.76901331,-2.561005329,3.545530722,1.395597122,0.250991626,268.7611455,252.3273219,229.493595
4/16/20 11:24,2,16,-14.40177065,-2.46052038,3.550769823,1.758046102,0.32725844,269.2704191,251.6094888,229.1446483
4/16/20 11:25,2,16,-14.0585234,-2.367777766,3.55618521,2.061140639,0.397004793,269.7796925,250.8916557,228.7957017
4/16/20 11:26,2,16,-13.99097872,-2.22974224,3.547803045,1.096708212,0.209552417,269.4358046,252.6672064,228.5951071
4/16/20 11:27,2,16,-14.36580885,-2.218570245,3.534872304,0.141484487,0.026068695,268.9265311,254.5145709,229.1412845
4/16/20 11:28,2,16,-14.8727256,-2.389707214,3.530914541,0.079899215,0.014136325,268.4172577,254.8218272,229.6874618
4/16/20 11:29,2,16,-15.45807128,-2.657290753,3.531132795,0.099672956,0.016870715,267.9079841,254.4292622,230.2061249
4/16/20 11:30,2,16,-15.87516885,-2.89176034,3.533873476,0.21039981,0.034543487,267.3987106,254.0366972,230.3855832
4/16/20 11:31,2,16,-15.91945635,-2.914191749,3.534198113,0.604063561,0.098999262,267.5774117,253.6441322,230.5650415
4/16/20 11:32,2,16,-15.88721844,-2.873006835,3.532834632,0.872108894,0.143486442,267.8629135,253.4875884,230.7444998
4/16/20 11:33,2,16,-15.82783358,-2.785173128,3.529321998,0.886081056,0.146451643,268.1484153,253.7041759,230.9239581
4/16/20 11:34,2,16,-15.70431958,-2.675363895,3.526152362,0.889944531,0.148447707,268.4749074,253.9207635,231.0366972
4/16/20 11:35,2,16,-15.51157224,-2.549765699,3.52378843,0.857168254,0.14501583,268.8054885,254.1373511,231.0366972
4/16/20 11:36,2,16,-15.32705212,-2.432656588,3.521689868,0.852173237,0.146185696,269.1360695,254.3118884,231.0366972
4/16/20 11:37,2,16,-15.21142769,-2.337906437,3.519111813,0.907021564,0.157035567,269.4666506,254.4427434,231.1416277
4/16/20 11:38,2,16,-15.11111215,-2.247878628,3.516383477,0.96711297,0.168813947,269.7972316,254.5735984,231.2698122
4/16/20 11:39,2,16,-15.31150748,-2.324032722,3.515553123,0.848997339,0.145813747,269.5261774,254.7044534,231.3979966
4/16/20 11:40,2,16,-15.59719491,-2.445644294,3.515237592,0.672605338,0.112948044,269.1074414,254.8353084,231.5261811
4/16/20 11:41,2,16,-15.8966784,-2.573002871,3.514978244,0.478319813,0.078507409,268.6887054,254.9661634,231.6543656
4/16/20 11:42,2,16,-16.21187049,-2.708013118,3.514840822,0.272857142,0.043755495,268.2699695,255.0852505,231.7825501
4/16/20 11:43,2,16,-15.88667311,-2.54448566,3.513643592,0.615878068,0.101221463,268.866623,254.9241982,231.788857
4/16/20 11:44,2,16,-15.18595078,-2.250690172,3.514469229,0.885268046,0.153543451,269.7639144,254.7631459,231.396292
4/16/20 11:45,2,16,-15.23038853,-2.352566669,3.51934435,0.732866112,0.126548514,269.303211,254.6020936,231.0537141
4/16/20 11:46,2,16,-15.69344388,-2.58323122,3.520895211,0.691966667,0.115387225,268.675107,254.4410413,231.2563283
4/16/20 11:47,2,16,-16.03543951,-2.745089676,3.521604372,0.743090483,0.120904117,268.3157662,254.279989,231.4589425
4/16/20 11:48,2,16,-15.7786921,-2.566381424,3.517994523,1.067880363,0.177412391,269.0136595,254.2477064,231.6615567
